<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.18	12:00:00	1.33484	1.34426	1.33412	1.34280	16299	0	0
2025.12.18	16:00:00	1.34278	1.34463	1.33703	1.33808	21160	0	0
2025.12.18	20:00:00	1.33810	1.33906	1.33749	1.33817	10324	0	0
2025.12.19	00:00:00	1.33738	1.33870	1.33734	1.33823	6034	0	1
2025.12.19	04:00:00	1.33821	1.33861	1.33693	1.33758	8628	0	1
2025.12.19	08:00:00	1.33754	1.33876	1.33629	1.33818	14397	0	0
2025.12.19	12:00:00	1.33819	1.33868	1.33569	1.33721	13473	0	0
2025.12.19	16:00:00	1.33722	1.33870	1.33570	1.33772	16697	0	0
2025.12.19	20:00:00	1.33771	1.33942	1.33727	1.33753	9434	0	0
2025.12.22	00:00:00	1.33778	1.33981	1.33717	1.33961	14686	0	1
2025.12.22	04:00:00	1.33961	1.34014	1.33915	1.33971	5075	0	1
2025.12.22	08:00:00	1.33970	1.34246	1.33913	1.34244	10084	0	0
2025.12.22	12:00:00	1.34244	1.34441	1.34240	1.34378	12653	0	0
2025.12.22	16:00:00	1.34378	1.34776	1.34315	1.34707	13907	0	0
2025.12.22	20:00:00	1.34706	1.34707	1.34538	1.34621	8476	0	0
2025.12.23	00:00:00	1.34553	1.34831	1.34438	1.34771	5505	0	1
2025.12.23	04:00:00	1.34771	1.34937	1.34764	1.34888	7024	0	1
2025.12.23	08:00:00	1.34887	1.35186	1.34800	1.35056	12712	0	0
2025.12.23	12:00:00	1.35055	1.35187	1.34942	1.34948	14155	0	0
2025.12.23	16:00:00	1.34950	1.35002	1.34708	1.34732	19167	0	0
2025.12.23	20:00:00	1.34732	1.35232	1.34718	1.35169	10804	0	0
2025.12.24	00:00:00	1.35165	1.35320	1.34900	1.35289	10364	0	1
2025.12.24	04:00:00	1.35292	1.35341	1.35093	1.35188	9508	0	1
2025.12.24	08:00:00	1.35187	1.35280	1.35025	1.35219	14875	0	0
2025.12.24	12:00:00	1.35217	1.35240	1.35010	1.35045	11766	0	0
2025.12.24	16:00:00	1.35040	1.35109	1.34921	1.34973	13598	0	0
2025.12.24	20:00:00	1.34972	1.35067	1.34946	1.35031	13960	0	0
2025.12.26	00:00:00	1.35224	1.35226	1.34948	1.35125	11250	0	3
2025.12.26	04:00:00	1.35124	1.35187	1.34863	1.34945	8604	0	3
2025.12.26	08:00:00	1.34945	1.35001	1.34773	1.34851	12898	0	2
2025.12.26	12:00:00	1.34848	1.35272	1.34834	1.35167	12442	0	2
2025.12.26	16:00:00	1.35168	1.35257	1.34811	1.34948	14712	0	2
2025.12.26	20:00:00	1.34956	1.35063	1.34898	1.34969	9173	0	2
2025.12.29	00:00:00	1.34829	1.35119	1.34795	1.35092	8348	0	3
2025.12.29	04:00:00	1.35091	1.35100	1.34834	1.34908	7361	0	3
2025.12.29	08:00:00	1.34909	1.35076	1.34734	1.34901	13966	0	2
2025.12.29	12:00:00	1.34899	1.35109	1.34691	1.34935	15046	0	2
2025.12.29	16:00:00	1.34935	1.35126	1.34816	1.34858	18823	0	0
2025.12.29	20:00:00	1.34858	1.35156	1.34845	1.35132	8869	0	0
2025.12.30	00:00:00	1.35095	1.35104	1.34967	1.35086	6805	0	1
2025.12.30	04:00:00	1.35090	1.35171	1.34993	1.35148	6050	0	1
2025.12.30	08:00:00	1.35149	1.35217	1.35002	1.35143	11379	0	0
2025.12.30	12:00:00	1.35145	1.35306	1.34869	1.34878	12949	0	0
2025.12.30	16:00:00	1.34879	1.34882	1.34495	1.34696	14827	0	0
2025.12.30	20:00:00	1.34697	1.34749	1.34609	1.34679	7653	0	0
2025.12.31	00:00:00	1.34561	1.34674	1.34561	1.34608	5273	0	1
2025.12.31	04:00:00	1.34605	1.34652	1.34571	1.34607	7445	0	1
2025.12.31	08:00:00	1.34607	1.34653	1.34258	1.34372	10672	0	0
2025.12.31	12:00:00	1.34377	1.34767	1.34324	1.34543	14787	0	0
2025.12.31	16:00:00	1.34545	1.34602	1.34018	1.34521	17968	0	0
2025.12.31	20:00:00	1.34521	1.34835	1.34470	1.34729	9310	0	0
2026.01.02	00:00:00	1.34649	1.34877	1.34602	1.34876	4553	0	1
2026.01.02	04:00:00	1.34876	1.34911	1.34695	1.34713	5023	0	1
2026.01.02	08:00:00	1.34713	1.34714	1.34490	1.34549	11867	0	0
2026.01.02	12:00:00	1.34550	1.34597	1.34338	1.34575	12551	0	0
2026.01.02	16:00:00	1.34575	1.35020	1.34534	1.34628	16070	0	0
2026.01.02	20:00:00	1.34627	1.34667	1.34464	1.34599	8528	0	0
2026.01.05	00:00:00	1.34450	1.34565	1.34370	1.34402	9396	0	1
2026.01.05	04:00:00	1.34402	1.34426	1.34139	1.34276	8674	0	1
2026.01.05	08:00:00	1.34275	1.34434	1.34172	1.34427	12892	0	0
2026.01.05	12:00:00	1.34426	1.34743	1.34249	1.34527	15478	0	0
2026.01.05	16:00:00	1.34532	1.35390	1.34507	1.35326	18167	0	0
2026.01.05	20:00:00	1.35325	1.35483	1.35286	1.35419	7735	0	0
2026.01.06	00:00:00	1.35410	1.35461	1.35281	1.35460	6755	0	1
