<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.31	0.90294	0.90689	0.90024	0.90219	33329	0	0
2024.06.03	0.90340	0.90355	0.89504	0.89557	31566	0	0
2024.06.04	0.89508	0.89719	0.88842	0.89008	34132	0	0
2024.06.05	0.88989	0.89487	0.88927	0.89310	29201	0	0
2024.06.06	0.89302	0.89353	0.88911	0.88913	27682	0	0
2024.06.07	0.88884	0.89727	0.88811	0.89644	33425	0	0
2024.06.10	0.89590	0.89828	0.89488	0.89648	29689	0	0
2024.06.11	0.89562	0.89930	0.89436	0.89720	27624	0	0
2024.06.12	0.89684	0.89831	0.88930	0.89430	36962	0	0
2024.06.13	0.89242	0.89672	0.89242	0.89376	34369	0	0
2024.06.14	0.89276	0.89511	0.88945	0.88995	39530	0	0
2024.06.17	0.88971	0.89319	0.88910	0.88910	32458	0	0
2024.06.18	0.88917	0.88998	0.88267	0.88380	33667	0	0
2024.06.19	0.88392	0.88543	0.88298	0.88380	23480	0	0
2024.06.20	0.88408	0.89258	0.88320	0.89100	34081	0	0
2024.06.21	0.89091	0.89454	0.89041	0.89407	30683	0	0
2024.06.24	0.89320	0.89451	0.89218	0.89251	27178	0	0
2024.06.25	0.89240	0.89523	0.89129	0.89453	26011	0	0
2024.06.26	0.89437	0.89828	0.89407	0.89733	28262	0	1
2024.06.27	0.89716	0.89885	0.89573	0.89871	27731	0	0
2024.06.28	0.89863	0.90096	0.89776	0.89838	32305	0	1
2024.07.01	0.89810	0.90444	0.89633	0.90256	31790	0	1
2024.07.02	0.90228	0.90467	0.90171	0.90409	10365	0	0
2024.07.03	0.90340	0.90501	0.89854	0.90143	24696	0	0
2024.07.04	0.89973	0.90393	0.89912	0.90000	21341	0	0
2024.07.05	0.89992	0.90061	0.89538	0.89555	28559	0	0
2024.07.08	0.89560	0.89767	0.89429	0.89720	25736	0	0
2024.07.09	0.89748	0.89902	0.89667	0.89769	26033	0	1
2024.07.10	0.89710	0.90007	0.89638	0.89945	22735	0	1
2024.07.11	0.89930	0.89979	0.89150	0.89610	31006	0	0
2024.07.12	0.89590	0.89702	0.89322	0.89432	33240	0	0
2024.07.15	0.89380	0.89724	0.89340	0.89530	31319	0	0
2024.07.16	0.89531	0.89786	0.89320	0.89320	26403	0	0
2024.07.17	0.89310	0.89448	0.88271	0.88328	35308	0	0
2024.07.18	0.88330	0.88788	0.88198	0.88765	35274	0	1
2024.07.19	0.88762	0.88996	0.88468	0.88898	30226	0	1
2024.07.22	0.88780	0.89032	0.88718	0.88957	38263	0	3
2024.07.23	0.88957	0.89247	0.88843	0.89138	39126	0	2
2024.07.24	0.89121	0.89225	0.88297	0.88518	49560	0	2
2024.07.25	0.88518	0.88551	0.87779	0.88172	67577	0	2
2024.07.26	0.88172	0.88456	0.88032	0.88395	44333	0	4
2024.07.29	0.88279	0.88725	0.88207	0.88618	41086	0	2
2024.07.30	0.88540	0.88765	0.88263	0.88274	44281	0	2
2024.07.31	0.88251	0.88323	0.87713	0.87810	71262	0	2
2024.08.01	0.87810	0.87849	0.87269	0.87304	63705	0	2
2024.08.02	0.87256	0.87349	0.85749	0.85807	80428	0	2
2024.08.05	0.85751	0.85957	0.84332	0.85102	131908	0	3
2024.08.06	0.85212	0.85729	0.85021	0.85146	98420	0	2
2024.08.07	0.85125	0.86632	0.85054	0.86174	84955	0	2
2024.08.08	0.86136	0.86751	0.85607	0.86670	84951	0	2
2024.08.09	0.86664	0.86729	0.86332	0.86533	61618	0	2
2024.08.12	0.86357	0.87128	0.86348	0.86525	55832	0	2
