<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.18	157.702	158.228	157.516	157.847	40100	0	0
2024.06.19	157.840	158.129	157.603	158.075	21537	0	0
2024.06.20	158.068	158.945	157.920	158.926	34078	0	0
2024.06.21	158.923	159.826	158.670	159.783	36956	0	0
2024.06.24	159.760	159.928	158.737	159.604	38569	0	0
2024.06.25	159.589	159.756	159.189	159.679	36281	0	0
2024.06.26	159.654	160.865	159.607	160.805	39757	0	0
2024.06.27	160.768	160.824	160.285	160.734	36627	0	0
2024.06.28	160.749	161.282	160.261	160.826	47835	0	0
2024.07.01	160.760	161.727	160.699	161.458	37851	0	0
2024.07.02	161.432	161.743	161.341	161.587	14276	0	0
2024.07.03	161.422	161.950	160.773	161.678	34062	0	0
2024.07.04	161.662	161.693	160.946	161.266	25874	0	0
2024.07.05	161.256	161.394	160.331	160.739	44710	0	0
2024.07.08	160.750	161.118	160.261	160.815	38704	0	0
2024.07.09	160.787	161.516	160.729	161.321	35912	0	0
2024.07.10	161.308	161.804	161.241	161.672	29356	0	0
2024.07.11	161.665	161.759	157.410	158.842	43237	0	0
2024.07.12	158.857	159.446	157.371	157.861	60076	0	0
2024.07.15	158.073	158.418	157.150	158.083	42758	0	0
2024.07.16	158.017	158.854	157.917	158.350	36902	0	0
2024.07.17	158.332	158.615	156.063	156.203	56320	0	0
2024.07.18	156.147	157.400	155.370	157.356	61459	0	0
2024.07.19	157.357	157.862	156.966	157.517	57172	0	0
2024.07.22	157.362	157.612	156.281	156.982	97335	0	1
2024.07.23	156.996	157.099	155.534	155.549	105904	0	1
2024.07.24	155.526	155.991	153.108	153.855	127967	0	1
2024.07.25	153.851	154.317	151.937	153.933	149104	0	1
2024.07.26	153.923	154.736	153.093	153.761	124681	0	1
2024.07.29	153.641	154.350	153.013	154.012	128107	0	1
2024.07.30	154.013	155.217	152.647	152.680	128135	0	1
2024.07.31	152.702	153.902	149.605	149.967	178749	0	1
2024.08.01	149.882	150.890	148.507	149.344	173400	0	1
2024.08.02	149.362	149.776	146.415	146.571	173023	0	1
2024.08.05	146.480	146.563	141.689	144.172	196516	0	1
2024.08.06	144.117	146.374	143.624	144.292	186463	0	1
2024.08.07	144.254	147.902	144.205	146.662	176475	0	1
2024.08.08	146.662	147.542	145.432	147.199	179315	0	1
2024.08.09	147.197	147.814	146.267	146.652	154456	0	1
2024.08.12	146.606	148.223	146.585	147.189	131129	0	1
2024.08.13	147.109	147.945	146.594	146.828	133652	0	1
2024.08.14	146.705	147.584	146.075	147.325	136833	0	1
2024.08.15	147.218	149.398	147.053	149.268	114762	0	1
2024.08.16	149.231	149.342	147.569	147.600	117635	0	1
2024.08.19	147.567	148.050	145.185	146.549	140079	0	1
2024.08.20	146.507	147.342	145.195	145.247	134348	0	1
2024.08.21	145.227	146.898	144.453	145.115	149888	0	1
2024.08.22	145.094	146.523	144.844	146.280	126324	0	1
2024.08.23	146.171	146.480	144.045	144.367	132686	0	1
2024.08.26	144.183	144.651	143.445	144.514	127006	0	1
2024.08.27	144.487	145.176	143.916	143.927	113782	0	1
2024.08.28	143.878	145.040	143.682	144.575	119499	0	1
2024.08.29	144.516	145.555	144.219	144.980	130891	0	1
2024.08.30	144.898	146.247	144.649	146.202	107038	0	1
2024.09.02	145.987	147.178	145.774	146.880	81516	0	1
2024.09.03	146.888	147.209	145.122	145.469	128972	0	1
2024.09.04	145.446	145.558	143.708	143.728	137525	0	1
2024.09.05	143.706	144.228	142.848	143.435	138120	0	1
2024.09.06	143.441	144.054	141.772	142.319	144768	0	1
2024.09.09	142.210	143.796	141.948	143.167	133596	0	1
2024.09.10	143.073	143.706	142.193	142.427	121591	0	1
2024.09.11	142.387	142.542	140.706	142.355	152126	0	1
2024.09.12	142.238	143.040	141.727	141.806	144357	0	1
2024.09.13	141.774	141.872	140.277	140.878	137884	0	1
2024.09.16	140.748	140.911	139.578	140.607	122267	0	1
2024.09.17	140.594	142.465	140.320	142.400	127641	0	1
2024.09.18	142.344	142.714	140.439	142.267	132343	0	1
2024.09.19	142.266	143.945	141.882	142.619	155768	0	1
2024.09.20	142.537	144.496	141.738	143.904	147752	0	1
2024.09.23	143.879	144.456	143.163	143.588	130254	0	1
2024.09.24	143.586	144.681	143.109	143.214	130040	0	1
2024.09.25	143.213	144.842	142.888	144.746	121228	0	1
2024.09.26	144.747	145.212	144.109	144.808	125627	0	1
2024.09.27	144.739	146.488	142.067	142.265	149997	0	1
2024.09.30	142.172	143.913	141.644	143.625	140890	0	1
2024.10.01	143.588	144.528	142.972	143.554	143667	0	1
2024.10.02	143.559	146.514	143.423	146.455	126334	0	1
2024.10.03	146.376	147.240	146.239	146.923	130599	0	1
2024.10.04	146.796	149.004	145.917	148.647	120705	0	1
2024.10.07	148.682	149.131	147.842	148.179	132485	0	1
2024.10.08	148.081	148.375	147.343	148.190	125713	0	1
2024.10.09	148.096	149.359	148.010	149.295	97937	0	1
2024.10.10	149.279	149.569	148.249	148.557	113849	0	1
2024.10.11	148.458	149.284	148.400	149.135	86112	0	1
2024.10.14	148.964	149.976	148.880	149.749	64534	0	1
2024.10.15	149.745	149.836	148.849	149.193	95393	0	1
2024.10.16	149.138	149.808	148.862	149.632	87163	0	1
